date,close,code,name,ret,log_ret,ma5,ma20,ma60,vol20,ret_20d,year_month,signal
2021-01-26,25.1555139,sz.000002,万科A,0.0115803814713895,0.0115138420623389,25.226660808,24.9416496825,24.957177777500004,0.2889365574287826,0.0472412076682171,2021-01,0
2021-01-27,24.9014178,sz.000002,万科A,-0.01010101010101,-0.0101523714640179,25.040323668,24.9789171105,24.976517314,0.2922391504352194,0.0336215487283613,2021-01,0
2021-01-28,24.07984041,sz.000002,万科A,-0.0329931972789115,-0.0335497486817275,24.75743001,24.981034578,24.9803287555,0.3166244690708267,0.005537187354078092,2021-01,0
2021-01-29,23.53776873,sz.000002,万科A,-0.0225114315863523,-0.022768681908496,24.508415832,24.9424966695,24.9597187385,0.3236930663717567,-0.028249790391541206,2021-01,1
2021-02-01,23.77492509,sz.000002,万科A,0.0100755667506298,0.0100251466193788,24.289893185999997,24.954777981,24.940096873,0.3047888546645241,0.013881525488008395,2021-02,0
2021-02-02,24.00361158,sz.000002,万科A,0.0096188101175633,0.0095728438887434,24.059512722,24.9729882015,24.9227336395,0.3061467131043304,0.018820709975622192,2021-02,0
2021-02-03,23.64787704,sz.000002,万科A,-0.0148200423429781,-0.0149309563683627,23.80880457,24.937838241,24.902829445,0.290530866961793,-0.026096071887241307,2021-02,0
2021-02-04,23.62246743,sz.000002,万科A,-0.0010744985673352,-0.0010750762547741,23.717329974,24.899723826,24.876290519,0.2903591674979879,-0.028561874802402406,2021-02,0
2021-02-05,24.46098456,sz.000002,万科A,0.0354965937612046,0.0348811123852277,23.901973140000003,24.880243125,24.863868043,0.3108414917055333,-0.012169136546581708,2021-02,0
2021-02-08,24.67273131,sz.000002,万科A,0.0086565096952908,0.0086192569467177,24.081534384,24.8527160475,24.864997358999997,0.3074157915703026,-0.018509218534999105,2021-02,0
2021-02-09,24.35087625,sz.000002,万科A,-0.01304497082046,-0.0131308037279838,24.150987318,24.812484165,24.858644956499997,0.3103873570462271,-0.028867822666406008,2021-02,0
2021-02-10,24.41863521,sz.000002,万科A,0.0027826086956523,0.0027787444069515,24.305138952,24.7671703605,24.8428345325,0.3093217090692711,-0.032819220704760406,2021-02,0
2021-02-18,25.41807987,sz.000002,万科A,0.0409295872355184,0.0401141478019648,24.664261439999997,24.7680173475,24.832247195,0.3442029102710985,0.005100333085941794,2021-02,0
2021-02-19,25.27409208,sz.000002,万科A,-0.0056647784071975,-0.0056808841167156,24.826882944,24.763358919,24.8171425935,0.3448108440847498,0.0007693326047196903,2021-02,0
2021-02-22,25.18092351,sz.000002,万科A,-0.0036863270777479,-0.0036931383255537,24.928521384,24.6985644135,24.8010498405,0.3037386264183385,-0.04665656041626711,2021-02,0
2021-02-23,25.41807987,sz.000002,万科A,0.0094180961991254,0.0093740224422694,25.141962108,24.644780739,24.786509897,0.3064641646957372,-0.037878259482656704,2021-02,0
2021-02-24,25.40114013,sz.000002,万科A,-0.0006664445184937,-0.0006666666913579,25.338463092,24.6231825705,24.77436975,0.2941219288383928,-0.013608642620076312,2021-02,0
2021-02-25,27.94210113,sz.000002,万科A,0.1000333444481493,0.0953404924795723,25.843267344000004,24.745572192,24.8052847755,0.4588013835867744,0.0995394559264336,2021-02,0
2021-02-26,28.0352697,sz.000002,万科A,0.0033343437405273,0.003328797142527,26.395502868,24.908193696,24.8357763075,0.4422047834791172,0.13078077641114688,2021-02,0
2021-03-01,28.24701645,sz.000002,万科A,0.0075528700906344,0.0075244899786155,27.008721456,25.0771676025,24.8603389305,0.442061237741564,0.13491601150519889,2021-03,0
2021-03-02,28.19619723,sz.000002,万科A,-0.0017991004497751,-0.0018007207746991,27.564344928000004,25.229201769,24.896900536,0.4426712521542616,0.1215365295840343,2021-03,0
2021-03-03,28.3740645,sz.000002,万科A,0.006308200660859,0.006288387244087,28.158929802,25.402834104,24.9357207735,0.4385301799116871,0.1379457403459033,2021-03,0
2021-03-04,27.68800503,sz.000002,万科A,-0.0241791044776119,-0.0244762180949015,28.108110582,25.583242335,24.9577424355,0.4289067257779526,0.14675983314720287,2021-03,0
2021-03-05,26.71396998,sz.000002,万科A,-0.035178953808504,-0.0358126392012267,27.843850638000003,25.742052397499997,24.9667769635,0.4427334820800596,0.1340923109250512,2021-03,0
2021-03-08,26.4259944,sz.000002,万科A,-0.0107799619530755,-0.0108384867194557,27.479646228,25.874605863,24.9837167035,0.4467980149449884,0.1132367822213459,2021-03,0
2021-03-09,26.27353674,sz.000002,万科A,-0.0057692307692307,-0.0057859370670438,27.09511413,25.988102121000004,25.006444188,0.4483267275777602,0.09784874133455189,2021-03,0
2021-03-10,25.99403103,sz.000002,万科A,-0.0106382978723404,-0.010695289116748,26.619107436,26.1054098205,25.0277600275,0.4461284106563877,0.10203048580518959,2021-03,0
2021-03-11,26.38364505,sz.000002,万科A,0.0149885956337569,0.0148773766018174,26.35823544,26.2434687015,25.062909988,0.4468221993941124,0.11809358000628169,2021-03,0
2021-03-12,26.67162063,sz.000002,万科A,0.0109149277688604,0.0108557898794712,26.34976557,26.354000505,25.1039888575,0.4335527625671718,0.09351191401393749,2021-03,0
2021-03-15,26.62927128,sz.000002,万科A,-0.001587805652588,-0.0015890675519274,26.390420946,26.4518275035,25.1460558785,0.4338300683697252,0.08326759866605869,2021-03,0
2021-03-16,27.8658723,sz.000002,万科A,0.0464376590330788,0.0453916902103203,26.708888057999996,26.627577306,25.2022393495,0.4534725510359864,0.1427502285195975,2021-03,0
2021-03-17,27.70494477,sz.000002,万科A,-0.0057750759878418,-0.0057918162210336,27.051070805999995,26.791892784000005,25.2609637815,0.4555751114792177,0.1341925438361034,2021-03,0
2021-03-18,27.6964749,sz.000002,万科A,-0.000305716906145,-0.0003057636470849,27.313636776,26.9058125355,25.3188412265,0.4376557956310763,0.09295723969444,2021-03,0
2021-03-19,26.4259944,sz.000002,万科A,-0.0458715596330274,-0.0469569830877709,27.26451153,26.9634076515,25.3521560485,0.4721338689681423,0.0527504584686101,2021-03,0
2021-03-22,26.79019881,sz.000002,万科A,0.0137820512820512,0.0136879425021207,27.296697036,27.043871416499996,25.396340537000004,0.4731013785924589,0.0702188368284092,2021-03,0
2021-03-23,26.61233154,sz.000002,万科A,-0.0066392665191273,-0.0066614044900823,27.045988883999996,27.103584,25.442218999500003,0.473875063081036,0.054161474110156496,2021-03,0
2021-03-24,26.05332012,sz.000002,万科A,-0.0210057288351368,-0.0212294881900318,26.715663954,27.136192999499997,25.480474579,0.4812386792434444,0.033822189793513396,2021-03,0
2021-03-25,25.87545285,sz.000002,万科A,-0.0068270481144343,-0.0068504590198389,26.351459544,27.032860585499996,25.518871323,0.3109819032868796,-0.0730382027690702,2021-03,0
2021-03-26,26.01944064,sz.000002,万科A,0.0055646481178395,0.005549222661867,26.270148791999997,26.932069132499997,25.558115054,0.3117462732427307,-0.07080789839175801,2021-03,0
2021-03-29,26.256597,sz.000002,万科A,0.0091145833333332,0.0090732962056747,26.16342843,26.83254816,25.599052759,0.3125316380091214,-0.06924618514905921,2021-03,0
2021-03-30,26.56998219,sz.000002,万科A,0.0119354838709677,0.0118648177174405,26.15495856,26.751237408,25.6406962865,0.3172677530494994,-0.05551160082831641,2021-03,0
2021-03-31,25.40961,sz.000002,万科A,-0.0436722983742429,-0.0446546405404314,26.026216536,26.603014683,25.6615886325,0.3465414807277479,-0.10549209986341831,2021-03,1
2021-04-01,25.26562221,sz.000002,万科A,-0.0056666666666667,-0.0056827831354982,25.904250408000003,26.481895542,25.682057485000005,0.3393018962440066,-0.08697966205247311,2021-04,0
2021-04-02,25.40961,sz.000002,万科A,0.0056989607777404,0.0056827831354981,25.78228428,26.416677543,25.70040887,0.3205467843954148,-0.046101747466228714,2021-04,0
2021-04-06,24.92682741,sz.000002,万科A,-0.019,-0.0191828194167739,25.516330362,26.3417191935,25.7237010125,0.3247299407809032,-0.05432178551315321,2021-04,0
2021-04-07,25.1555139,sz.000002,万科A,0.0091743119266054,0.0091324835632724,25.233436704,26.2858180515,25.748969458,0.3271895126785323,-0.03937824281731712,2021-04,0
2021-04-08,24.70661079,sz.000002,万科A,-0.0178451178451178,-0.0180062619290239,25.092836862,26.2214470395,25.754898367,0.3307033852177764,-0.046585062790094514,2021-04,0
2021-04-09,24.44404482,sz.000002,万科A,-0.0106273568735002,-0.0106842305339053,24.928521384,26.124467028,25.7558865185,0.3253692300617078,-0.07220101529735162,2021-04,0
2021-04-12,24.21535833,sz.000002,万科A,-0.0093555093555092,-0.0093995470115042,24.68967105,26.001653913,25.745299181000004,0.3212978003397144,-0.09247145242172121,2021-04,0
2021-04-13,23.96126223,sz.000002,万科A,-0.0104931794333683,-0.0105486210207446,24.496558014,25.8682534605,25.7242656705,0.3217365361785502,-0.10137682620250152,2021-04,0
2021-04-14,24.35934612,sz.000002,万科A,0.0166136443973137,0.0164771475393703,24.337324458,25.6929271515,25.7109962075,0.271981356139663,-0.13120084083826664,2021-04,0
2021-04-15,24.24923781,sz.000002,万科A,-0.0045201668984701,-0.0045304137428222,24.245849862,25.5201418035,25.693068316,0.2720658570413612,-0.1299459317488949,2021-04,0
2021-04-16,24.45251469,sz.000002,万科A,0.008382815228781,0.00834787456482,24.247543836,25.357943793,25.677257892,0.2764019080460884,-0.12125739961396892,2021-04,0
2021-04-19,24.562623,sz.000002,万科A,0.0045029442327675,0.0044928363116302,24.31699677,25.264775223,25.6638472645,0.2348984789059371,-0.07088289574817401,2021-04,0
2021-04-20,24.33393651,sz.000002,万科A,-0.009310344827586,-0.0093539569952757,24.391531626,25.141962108,25.628132645999997,0.226457693766419,-0.09397529185781121,2021-04,0
2021-04-21,24.26617755,sz.000002,万科A,-0.0027845457709712,-0.0027884298304497,24.372897912,25.0246544085,25.5910063825,0.2264329692066873,-0.09012057110965511,2021-04,0
2021-04-22,24.57956274,sz.000002,万科A,0.012914485165794,0.0128318042952932,24.438962898,24.9509665395,25.5701140365,0.2256615534487212,-0.05620035710872431,2021-04,0
