date,close,code,name,ret,log_ret,ma5,ma20,ma60,vol20
2020-05-28,1137.538752,sh.600519,贵州茅台,0.004484304932735439,0.004474280394921107,1139.41772226,1122.2365705514999,1014.5806027388334,0.21499569104043462
2020-05-29,1156.6670078,sh.600519,贵州茅台,0.016815476190476186,0.016675661263583056,1145.9179437,1125.938226602,1018.5387128383334,0.2207564663046578
2020-06-01,1201.4406685,sh.600519,贵州茅台,0.03870920532708899,0.037978793566347833,1155.49899926,1132.0575756920002,1022.8623193299999,0.2519859499844437
2020-06-02,1194.00096193,sh.600519,贵州茅台,-0.006192321239873233,-0.006211573178314803,1164.421568846,1138.1942756335,1026.8373570895,0.2513256866398777
2020-06-03,1184.3437319,sh.600519,贵州茅台,-0.008088125837344307,-0.00812101217304342,1174.798224426,1142.3965672285,1030.0578444045,0.2421923765058084
2020-06-04,1191.69880017,sh.600519,贵州茅台,0.006210247981133454,0.006191043858371524,1185.63023406,1146.4587824369999,1033.6195651323333,0.24152998174064058
2020-06-05,1206.095775,sh.600519,贵州茅台,0.012081051712015123,0.012008658282711844,1195.5159875,1151.1303934055,1038.0065092851667,0.24326215444198326
2020-06-08,1190.0991363,sh.600519,贵州茅台,-0.013263157894736755,-0.013351899105980681,1193.24768106,1154.646691579,1041.5345157568333,0.2507503263706307
2020-06-09,1198.94383865,sh.600519,贵州茅台,0.007431903847521459,0.007404423321216522,1194.236256404,1158.1824565615,1045.1743858483335,0.2507230786861221
2020-06-10,1204.96162178,sh.600519,贵州茅台,0.005019236878331057,0.005006682500317883,1198.35983438,1161.894269208,1049.1969621196668,0.2507800802471172
2020-06-11,1185.32553618,sh.600519,贵州茅台,-0.016296025736482145,-0.01643026635415405,1197.0851815820001,1165.0203848185,1053.2656662645,0.25791139758951354
2020-06-12,1198.79148971,sh.600519,贵州茅台,0.011360552961169779,0.011296506491790845,1195.6243245239998,1169.3949153540002,1058.1940134096667,0.2547592603295585
2020-06-15,1170.547689,sh.600519,贵州茅台,-0.02356022790654977,-0.023842207891183444,1191.7140350640002,1170.9518368825,1062.960560338,0.2593723700223429
2020-06-16,1188.22016604,sh.600519,贵州茅台,0.015097613882863348,0.01498477918275225,1189.569300542,1173.396614178,1068.5451364358335,0.26372470311346524
2020-06-17,1189.168115,sh.600519,贵州茅台,0.000797788984813419,0.0007974709203355903,1186.4105991860001,1175.681848278,1074.3146472191665,0.2637172653932618
2020-06-18,1195.939179,sh.600519,贵州茅台,0.005693950177936058,0.005677800916681415,1188.53332775,1177.666616413,1079.6429103318333,0.2619241949394257
2020-06-19,1218.65609872,sh.600519,贵州茅台,0.01899504600141544,0.018816892601110972,1192.506249552,1182.391126319,1085.5794406938332,0.24388249220659433
2020-06-22,1217.945137,sh.600519,贵州茅台,-0.0005833981553506895,-0.0005835683982706798,1201.9857391520002,1185.611613634,1090.9821855105,0.2300024890244337
2020-06-23,1247.9917335,sh.600519,贵州茅台,0.02466990965948579,0.024370521367963152,1213.940052644,1190.5417946090001,1096.5457430971667,0.24115953272589655
2020-06-24,1250.15838267,sh.600519,贵州茅台,0.0017361085909788354,0.0017346032964436903,1226.1381061779998,1196.4266910425,1102.3595464023335,0.2308523862289998
2020-06-29,1252.86418639,sh.600519,贵州茅台,0.002164368737200384,0.002162029865364498,1237.5231076559999,1202.192962762,1108.0692009005,0.23107535100254553
2020-06-30,1252.61586896,sh.600519,贵州茅台,-0.00019819979906643415,-0.00019821944324229982,1244.3150617039998,1206.99040582,1113.8240891164999,0.22734013764995006
2020-07-01,1279.49409009,sh.600519,贵州茅台,0.021457672536366657,0.021230697839797967,1256.624852322,1210.8930768995,1119.4767987346668,0.19897420377072456
2020-07-02,1322.076248,sh.600519,贵州茅台,0.033280464708519863,0.0327386583288071,1271.441755222,1217.296841203,1125.9520620513333,0.22217212392296018
2020-07-03,1320.18389793,sh.600519,贵州茅台,-0.0014313471502590547,-0.0014323725061349342,1285.446858274,1224.0888495044999,1131.8033181001665,0.21811079304821623
2020-07-06,1370.0272,sh.600519,贵州茅台,0.03775481745244158,0.03705955014928601,1308.879460996,1233.005269496,1138.5587901073332,0.24632624345843632
2020-07-07,1445.378696,sh.600519,贵州茅台,0.05499999999999994,0.05354076692802976,1347.4320264040002,1244.969415546,1146.2857356931665,0.2992411425212481
2020-07-08,1439.67595778,sh.600519,贵州茅台,-0.003945497630331696,-0.003953301640005006,1379.468399942,1257.44825662,1153.9203158548335,0.2916730765832992
2020-07-09,1460.791502,sh.600519,贵州茅台,0.014666872851416102,0.014560354535727037,1407.211450742,1270.5406397875,1161.9245957965,0.29204995081728125
2020-07-10,1467.51319795,sh.600519,贵州茅台,0.004601406799531027,0.004590852690711544,1436.6773107459999,1283.668218596,1169.9492125123331,0.2921498050787879
2020-07-13,1525.85923133,sh.600519,贵州茅台,0.039758438603145096,0.038988415600394906,1467.843717012,1300.6949033535,1178.9843503528332,0.2928278428510517
2020-07-14,1508.742454,sh.600519,贵州茅台,-0.011217795834993494,-0.011281189846606003,1480.5164686120002,1316.1924515679998,1187.4125830311668,0.3050785637444984
2020-07-15,1500.63360551,sh.600519,贵州茅台,-0.005374574347332461,-0.005389069331615269,1492.707998158,1332.6967473935,1195.6421895096669,0.28321846573816106
2020-07-16,1382.014938,sh.600519,贵州茅台,-0.0790457224698008,-0.08234488833461531,1476.952685358,1342.3864859915,1201.7890203213333,0.431003703497995
2020-07-17,1411.17082935,sh.600519,贵州茅台,0.021096654275092996,0.020877200985105603,1465.684211638,1353.486621709,1208.0141081771665,0.4325629702217693
2020-07-20,1401.67482832,sh.600519,贵州茅台,-0.006729164770486462,-0.006751907684369949,1440.847331036,1363.773404175,1214.0625910508331,0.4360385652624994
2020-07-21,1428.253356,sh.600519,贵州茅台,0.018961978301241356,0.018784440788062264,1424.7495114360001,1374.253267039,1220.9391536508333,0.4360278564902428
2020-07-22,1436.88452736,sh.600519,贵州茅台,0.006043165467625844,0.0060249787765335175,1411.999695806,1385.2002365570002,1227.3318350485,0.4348638756709685
2020-07-23,1435.103492,sh.600519,贵州茅台,-0.0012395118230358326,-0.0012402806531972724,1422.617406606,1394.555824482,1233.5853669888336,0.43192978014529626
2020-07-24,1366.0027451,sh.600519,贵州茅台,-0.0481503579952266,-0.04934819573507634,1413.583789756,1400.3480426035,1238.711200665833,0.4747334370438718
2020-07-27,1389.33602085,sh.600519,贵州茅台,0.01708142669090451,0.016937179437456366,1411.1160282619999,1407.1716343265,1243.8670558800002,0.47655419983046726
